NUTS YYYY MM 0 BAREA
BG411 2007 01 2 0.125264
BG411 2007 03 2 19.4587
BG411 2007 04 4 1.18276
BG411 2007 05 2 0.202724
BG411 2007 07 4 4.77007
BG412 2005 02 3 54.2146
BG412 2005 03 3 55.5808
BG412 2005 04 3 221.366
BG412 2005 05 2 0.676884
BG412 2006 01 2 0.863629
BG412 2006 03 2 25.9191
BG412 2006 04 4 0.878514
BG412 2006 05 2 0.621264
BG412 2006 08 5 5.98766
BG412 2006 09 5 15.6847
BG412 2006 10 2 0.0838813
BG412 2006 11 2 0.582587
BG412 2006 12 2 49.6206
BG412 2007 01 2 357.321
BG412 2007 02 5 15.001
BG412 2007 03 5 1563.86
BG412 2007 04 5 1118.17
BG412 2007 05 5 79.8004
BG412 2007 06 3 15.4517
BG412 2007 07 3 1100.8
BG412 2007 08 4 12.9193
BG413 2005 03 4 51.1086
BG413 2005 04 5 33.3638
BG413 2005 05 3 2.01096
BG413 2005 06 3 7.07514
BG413 2005 07 3 2.50366
BG413 2005 08 3 2.27731
BG413 2005 10 2 1.18454
BG413 2005 11 2 26.345
BG413 2006 02 2 42.3976
BG413 2006 03 4 5.38129
BG413 2006 04 3 2.72704
BG413 2006 06 2 1.86938
BG413 2006 07 3 0.414349
BG413 2006 08 3 22.1535
BG413 2006 09 3 12.0215
BG413 2007 01 3 5.14457
BG413 2007 02 2 4.04579
BG413 2007 03 2 91.8944
BG413 2007 04 2 64.757
BG413 2007 05 2 1.60664
BG413 2007 06 2 7.62226
BG413 2007 07 2 158.693
BG413 2007 08 2 10.7716
BG413 2007 09 2 1.542
BG413 2007 10 2 10.4395
BG414 2005 03 3 5.75175
BG414 2006 03 3 44.5425
BG414 2006 04 2 0.139433
BG414 2006 09 2 4.62588
BG414 2006 10 2 0.276052
BG414 2007 01 4 4.30643
BG414 2007 02 4 4.16793
BG414 2007 03 4 495.007
BG414 2007 04 4 78.332
BG414 2007 05 4 2.15944
BG414 2007 07 3 25.7131
BG414 2007 08 2 0.734826
BG414 2007 09 2 4.46241
BG415 2005 01 3 3.05667
BG415 2005 03 3 17.5467
BG415 2005 04 4 56.6121
BG415 2005 05 2 2.79797
BG415 2005 07 2 0.229202
BG415 2005 08 4 1.65743
BG415 2005 11 2 0.132618
BG415 2006 02 4 4.00813
BG415 2006 03 3 2.46103
BG415 2006 04 5 5.46104
BG415 2006 08 2 0.755646
BG415 2006 09 3 2.58218
BG415 2006 10 3 3.36504
BG415 2006 11 2 2.91194
BG415 2006 12 2 0.794779
BG415 2007 01 3 20.5053
BG415 2007 02 5 5.29747
BG415 2007 03 5 106.259
BG415 2007 04 5 316.271
BG415 2007 05 3 0.323577
BG415 2007 06 4 21.6512
BG415 2007 07 4 888.636
BG415 2007 08 4 5.12635
BG415 2007 09 2 19.5612
BG415 2007 10 3 3.67903
BG421 2005 01 2 0.65647
BG421 2005 03 4 2.98041
BG421 2005 04 3 2.42129
BG421 2005 10 2 1.48457
BG421 2006 01 3 0.481229
BG421 2006 03 3 30.1665
BG421 2006 04 3 14.1157
BG421 2006 05 2 0.1245
BG421 2006 06 5 4.00158
BG421 2006 07 5 1
BG421 2006 08 4 1.44982
BG421 2006 09 4 61.2472
BG421 2006 11 3 36.602
BG421 2007 01 3 16.6377
BG421 2007 02 3 36.8495
BG421 2007 03 3 284.924
BG421 2007 04 3 200.269
BG421 2007 05 4 2.23446
BG421 2007 06 4 14.21
BG421 2007 07 4 626.222
BG421 2007 08 4 247.26
BG422 2005 03 4 12.6289
BG422 2005 04 4 73.5618
BG422 2005 09 4 5.53105
BG422 2006 01 5 10.3281
BG422 2006 02 3 0.89011
BG422 2006 03 4 20.2
BG422 2006 04 3 7.0596
BG422 2006 06 2 14.2214
BG422 2006 07 2 145.893
BG422 2006 08 2 1127.15
BG422 2006 09 2 610.552
BG422 2007 01 4 1.13109
BG422 2007 02 3 4.25846
BG422 2007 03 3 51.2923
BG422 2007 04 2 1.36679
BG422 2007 06 4 60.5828
BG422 2007 07 4 5106.58
BG422 2007 08 4 12972.6
BG423 2005 01 2 1.24759
BG423 2005 03 2 57.5449
BG423 2005 04 2 42.7673
BG423 2005 05 2 1.6553
BG423 2005 07 3 0.436605
BG423 2005 08 2 0.128153
BG423 2006 01 3 8.83021
BG423 2006 02 4 29.5281
BG423 2006 03 4 7.75145
BG423 2006 04 2 0.99176
BG423 2006 05 3 0.761956
BG423 2006 07 4 3.2859
BG423 2006 08 5 30.869
BG423 2006 09 5 58.8844
BG423 2006 10 2 0.665435
BG423 2006 11 5 5.24478
BG423 2006 12 3 19.0336
BG423 2007 01 3 330.791
BG423 2007 02 2 0.745402
BG423 2007 03 2 180.982
BG423 2007 04 2 62.7641
BG423 2007 05 4 0.452272
BG423 2007 06 3 29.5529
BG423 2007 07 3 1421.17
BG423 2007 08 5 18.1706
BG423 2007 09 2 1.00679
BG424 2005 03 2 1.77938
BG424 2005 04 2 2.04622
BG424 2005 05 2 0.212858
BG424 2005 06 2 0.0870192
BG424 2005 08 2 0.289737
BG424 2005 10 4 0.870632
BG424 2006 03 4 5.44071
BG424 2006 04 2 3.36076
BG424 2006 08 2 0.415581
BG424 2006 09 4 21.6579
BG424 2006 11 4 5.92479
BG424 2006 12 3 1.67281
BG424 2007 01 5 4.48651
BG424 2007 02 3 5.26365
BG424 2007 03 3 13.9579
BG424 2007 04 3 16.2728
BG424 2007 05 5 0.54032
BG424 2007 07 5 319.625
BG424 2007 08 5 1.38762
BG424 2007 09 3 3.73571
BG425 2005 03 3 0.188194
BG425 2005 04 5 2.46982
BG425 2005 06 2 0.27944
BG425 2005 07 2 0.592672
BG425 2005 09 4 0.186785
BG425 2006 04 2 0.145462
BG425 2006 05 5 0.372905
BG425 2006 06 3 0.132586
BG425 2006 07 2 0.29301
BG425 2006 08 4 0.710985
BG425 2006 09 4 1.90201
BG425 2007 01 5 1.0197
BG425 2007 02 2 0.134967
BG425 2007 03 2 6.44724
BG425 2007 04 2 9.75379
BG425 2007 05 3 0.422148
BG425 2007 06 2 1.69251
BG425 2007 07 2 34.3116
BG425 2007 08 4 0.73277
BG425 2007 09 3 2.6549
CY000 2000 01 3 0.20086
CY000 2000 02 4 4.65991
CY000 2000 03 4 11.1362
CY000 2000 04 4 21.2907
CY000 2000 05 4 70.5618
CY000 2000 06 4 8272.33
CY000 2000 07 4 250.715
CY000 2000 08 4 277.404
CY000 2000 09 4 113.68
CY000 2000 10 4 265.5
CY000 2000 11 4 353.015
CY000 2000 12 5 16.7437
CY000 2001 01 4 0.762476
CY000 2001 02 4 2.80746
CY000 2001 03 4 4.05461
CY000 2001 04 4 14.9135
CY000 2001 05 4 192.847
CY000 2001 06 4 3209
CY000 2001 07 4 1366.72
CY000 2001 08 4 258.869
CY000 2001 09 4 55.9374
CY000 2001 10 4 74.6056
CY000 2001 11 4 5.39532
CY000 2002 02 4 0.231972
CY000 2002 03 4 0.958884
CY000 2002 04 3 0.0165195
CY000 2002 05 3 27.1889
CY000 2002 06 3 115.975
CY000 2002 07 3 59.9245
CY000 2002 08 3 863.556
CY000 2002 09 3 184.671
CY000 2002 10 3 374.937
CY000 2002 11 3 139.895
CY000 2002 12 4 0.32389
CY000 2003 04 4 1.47138
CY000 2003 05 4 123.587
CY000 2003 06 4 101.362
CY000 2003 07 4 392.476
CY000 2003 08 4 511.32
CY000 2003 09 4 210.032
CY000 2003 10 4 681.85
CY000 2003 11 4 34.2503
CY000 2003 12 4 3.02977
CY000 2004 02 3 0.955392
CY000 2004 03 3 6.49885
CY000 2004 04 3 10.9706
CY000 2004 05 3 296.32
CY000 2004 06 3 403.587
CY000 2004 07 3 164.836
CY000 2004 08 3 59.2979
CY000 2004 09 3 91.8522
CY000 2004 10 3 93.4021
CY000 2004 11 3 9.49625
CY000 2004 12 2 0.278038
CY000 2005 01 2 4.33947
CY000 2005 02 2 0.129616
CY000 2005 03 2 14.916
CY000 2005 04 3 21.183
CY000 2005 05 3 398.663
CY000 2005 06 3 869.019
CY000 2005 07 3 30.7432
CY000 2005 08 3 343.746
CY000 2005 09 3 33.1192
CY000 2005 10 3 58.553
CY000 2005 11 3 23.5366
CY000 2005 12 4 0.0628105
CY000 2006 02 3 0.587406
CY000 2006 03 3 83.1106
CY000 2006 04 5 0.967452
CY000 2006 05 5 282.391
CY000 2006 06 5 358.534
CY000 2006 07 5 261.244
CY000 2006 08 5 40.6708
CY000 2006 09 5 195.93
CY000 2006 10 5 14.6292
CY000 2006 12 3 0.845538
CZ010 2006 05 4 0.023707
CZ010 2006 07 4 0.0753943
CZ010 2006 09 3 0.0131662
CZ020 2004 03 2 24.0416
CZ020 2006 01 2 0.00492811
CZ020 2006 04 2 10.8473
CZ020 2006 05 2 18.1471
CZ020 2006 06 2 3.5218
CZ020 2006 07 2 10.1153
CZ020 2006 08 2 0.0108734
CZ020 2006 09 2 1.43463
CZ020 2006 10 2 0.117046
CZ020 2006 11 2 0.166974
CZ020 2006 12 2 0.00132759
CZ031 2006 04 5 0.422728
CZ031 2006 05 5 3.01639
CZ031 2006 06 2 0.129287
CZ031 2006 07 4 0.23045
CZ031 2006 09 3 0.120826
CZ031 2006 10 4 0.00803731
CZ031 2006 11 5 0.28404
CZ031 2006 12 5 0.691518
CZ032 2004 04 2 13.5171
CZ032 2006 04 2 7.39193
CZ032 2006 05 2 0.650117
CZ032 2006 06 2 0.576514
CZ032 2006 07 2 0.573189
CZ032 2006 08 3 0.0871045
CZ032 2006 09 3 0.577752
CZ032 2006 10 3 0.0238921
CZ032 2006 11 3 0.00869638
CZ032 2006 12 3 0.0428257
CZ041 2006 04 2 9.24986
CZ041 2006 05 4 1.01741
CZ041 2006 07 4 0.676825
CZ041 2006 08 3 0.247137
CZ041 2006 09 2 0.0297836
CZ041 2006 10 2 0.00172912
CZ041 2006 11 2 0.0129302
CZ042 2004 06 2 13.5526
CZ042 2006 04 4 1.25128
CZ042 2006 05 4 7.61324
CZ042 2006 06 4 0.928723
CZ042 2006 07 4 261.418
CZ042 2006 08 2 0.00342008
CZ042 2006 09 2 2.18124
CZ042 2006 10 4 0.220816
CZ051 2006 03 2 0.00259678
CZ051 2006 04 4 0.194625
CZ051 2006 05 4 0.0434952
CZ051 2006 06 4 4.0513
CZ051 2006 07 4 5.56088
CZ051 2006 08 4 0.0422898
CZ051 2006 09 4 0.283525
CZ051 2006 10 4 0.0121199
CZ052 2006 04 2 0.188787
CZ052 2006 06 2 0.539782
CZ052 2006 07 2 3.05991
CZ052 2006 09 5 0.0859136
CZ052 2006 10 5 1.63926
CZ053 2006 04 2 0.0177711
CZ053 2006 05 4 0.519223
CZ053 2006 06 2 0.0620494
CZ053 2006 07 2 3.76085
CZ053 2006 08 2 0.0143413
CZ053 2006 09 3 2.51401
CZ061 2006 04 3 1.59017
CZ061 2006 05 4 0.0568428
CZ061 2006 06 4 0.341234
CZ061 2006 07 4 2.99631
CZ061 2006 09 4 0.533612
CZ061 2006 10 4 0.164172
CZ061 2006 11 3 0.0755874
CZ061 2006 12 4 0.0398106
CZ062 2006 04 3 0.547727
CZ062 2006 05 2 0.0134157
CZ062 2006 07 2 1.62121
CZ062 2006 09 3 0.89482
CZ062 2006 10 3 4.11491
CZ062 2006 12 2 0.00152595
CZ071 2006 04 2 7.06965
CZ071 2006 06 2 0.00274927
CZ071 2006 07 2 1.31209
CZ071 2006 08 3 0.0133259
CZ071 2006 09 3 0.197024
CZ071 2006 10 2 0.0410324
CZ072 2006 04 2 0.224868
CZ072 2006 07 5 1.48377
CZ072 2006 09 2 0.171342
CZ072 2006 10 2 0.00245432
CZ080 2005 04 2 10.6867
CZ080 2006 04 2 9.4722
CZ080 2006 06 3 1.14109
CZ080 2006 07 3 3.12406
CZ080 2006 08 2 0.00515456
CZ080 2006 09 2 0.0758536
CZ080 2006 10 2 1.98264
DE121 1997 05 2 0.232016
DE121 2003 08 2 0.162159
DE122 1997 05 2 0.0637817
DE122 2000 08 4 0.593662
DE122 2003 08 2 0.866864
DE122 2006 03 2 0.0938842
DE122 2006 04 4 0.0366267
DE123 1998 04 2 0.434829
DE123 1999 03 2 1.03189
DE123 2000 08 3 0.0606876
DE123 2003 04 3 0.114334
DE123 2003 05 2 0.0295618
DE123 2003 08 5 0.392577
DE124 1997 03 2 1.28501
DE124 1998 03 2 0.0796515
DE124 2000 06 3 0.041517
DE124 2001 07 2 0.081426
DE124 2003 03 2 0.255276
DE124 2003 06 2 0.142021
DE124 2003 07 3 2.2447
DE124 2003 08 2 0.0609876
DE124 2003 09 2 0.0136845
DE124 2006 05 2 0.124872
DE125 1997 05 2 0.107349
DE126 1999 03 2 0.161851
DE126 2003 03 2 0.0330138
DE126 2003 07 2 0.0148902
DE126 2003 08 4 0.182073
DE127 1999 06 2 0.164155
DE127 2003 04 3 1.72321
DE127 2003 08 3 0.112151
DE127 2003 09 2 0.0655755
DE128 1997 04 2 0.340913
DE128 1999 04 2 2.56944
DE128 1999 05 2 0.0157669
DE128 1999 07 2 0.0745548
DE128 1999 09 2 0.00695462
DE128 1999 11 2 0.00687936
DE128 2001 09 3 0.076065
DE128 2003 04 2 0.218954
DE128 2003 06 2 0.0558414
DE128 2003 07 2 0.0110147
DE128 2003 08 2 3.89687
DE128 2006 04 2 0.139624
DE128 2006 06 4 0.725333
DE129 1997 03 2 0.297982
DE129 2000 06 2 0.6598
DE129 2000 07 2 0.0145369
DE129 2000 08 2 0.024801
DE129 2001 07 2 0.965376
DE129 2002 08 2 1.00398
DE129 2003 08 2 0.866864
DE129 2003 09 2 0.35396
DE12A 1997 03 2 0.0815152
DE12A 1998 05 2 0.345525
DE12A 2000 06 2 0.615235
DE12A 2000 07 2 0.405126
DE12A 2003 03 2 0.278345
DE12A 2003 04 2 0.293185
DE12A 2003 09 2 0.0487216
DE12C 2003 03 3 0.158382
DE12C 2003 04 3 0.17952
DE12C 2003 08 2 0.228436
DE12C 2003 09 2 0.0426462
DE133 2006 07 2 0.0855255
DE133 2006 09 2 0.106198
DE134 2000 09 2 0.149855
DE134 2006 06 2 0.108214
DE134 2006 10 2 0.052098
DE135 2000 08 3 0.28563
DE139 2006 04 2 3.5739
DE13A 2006 05 3 0.58272
DE13A 2006 07 4 0.676899
DE13A 2006 08 3 0.528195
DE13A 2006 10 2 0.216715
DE411 1999 09 2 0.199858
DE411 2003 06 2 0.376554
DE411 2005 06 2 0.0275849
DE411 2006 07 3 3.44542
DE412 1998 05 3 1.22806
DE412 1998 06 2 0.0130324
