X Y
141.107086181641 -27.5979175567627
143.937911987305 -27.7629165649414
144.282089233398 -26.6120834350586
144.838745117188 -15.28125
144.484588623047 -15.6137504577637
145.012924194336 -15.7679166793823
144.21208190918 -14.9170837402344
145.066253662109 -15.4245834350586
145.209579467773 -15.6870832443237
145.288757324219 -15.9854164123535
145.337921142578 -16.390417098999
145.612075805664 -16.8004169464111
145.430419921875 -17.0012493133545
145.539581298828 -17.2587509155273
145.530410766602 -16.7804164886475
145.598754882812 -17.1329174041748
145.548751831055 -17.2279167175293
145.577087402344 -17.2620830535889
145.442916870117 -16.8420829772949
145.512924194336 -17.3370838165283
145.539581298828 -17.2920837402344
145.535415649414 -17.3270835876465
145.452087402344 -17.1654167175293
145.48957824707 -17.1579170227051
145.696243286133 -16.9420833587646
145.652923583984 -17.3795833587646
145.932922363281 -17.544584274292
145.862915039062 -17.5404167175293
145.978744506836 -17.6079158782959
145.630416870117 -17.7395839691162
145.651245117188 -17.7729167938232
145.53791809082 -18.2045841217041
145.477081298828 -17.6045837402344
145.341247558594 -18.0654163360596
145.341247558594 -17.6512508392334
145.297088623047 -17.6262493133545
145.437911987305 -17.7354164123535
145.14958190918 -17.9179172515869
147.110412597656 -19.6329174041748
146.958755493164 -19.7737503051758
147.023742675781 -19.6729164123535
147.169586181641 -19.689582824707
147.245422363281 -19.7604160308838
147.165420532227 -20.6279163360596
145.908752441406 -19.1312503814697
146.026245117188 -19.810417175293
147.597076416016 -20.5820827484131
148.324584960938 -20.9179172515869
147.882080078125 -20.7545833587646
148.44792175293 -21.1929168701172
146.860412597656 -21.5337505340576
146.425415039062 -20.997917175293
147.716247558594 -21.4504165649414
148.117080688477 -20.2887496948242
148.155410766602 -20.1495838165283
148.128753662109 -20.0045833587646
148.860412597656 -21.0345840454102
148.834579467773 -21.3229160308838
148.832077026367 -21.1754169464111
148.64958190918 -21.1329174041748
149.076248168945 -21.1420841217041
149.022079467773 -21.2837505340576
150.666244506836 -22.8345832824707
149.935409545898 -23.5762500762939
150.107086181641 -23.0887508392334
149.869583129883 -22.9679164886475
149.032913208008 -23.0762500762939
148.605422973633 -23.5404167175293
148.152923583984 -23.4329166412354
147.57958984375 -22.797082901001
147.756256103516 -23.8854160308838
147.893753051758 -23.185417175293
148.473754882812 -23.4804172515869
149.788757324219 -25.6379165649414
149.789581298828 -25.3879165649414
149.973754882812 -24.8320827484131
150.525421142578 -24.1487503051758
149.32958984375 -25.7437496185303
150.283752441406 -24.1054172515869
150.624588012695 -24.5754165649414
149.882919311523 -26.0254173278809
150.372085571289 -23.6570835113525
149.78791809082 -24.6212501525879
150.387924194336 -23.627082824707
150.382080078125 -23.624584197998
150.38542175293 -23.6329174041748
150.378753662109 -23.6454162597656
150.377090454102 -23.6504173278809
150.407089233398 -23.6454162597656
150.369583129883 -23.7637500762939
149.520416259766 -25.4929161071777
150.265411376953 -23.8487491607666
149.11457824707 -22.65625
149.131256103516 -22.0345840454102
148.92707824707 -21.7770824432373
148.685409545898 -21.6820831298828
148.383743286133 -22.1704158782959
148.78791809082 -21.7695827484131
147.973754882812 -21.8554172515869
149.202911376953 -21.8512496948242
148.693756103516 -24.8420829772949
148.55207824707 -23.6129169464111
151.825424194336 -24.3762493133545
151.89208984375 -24.96875
151.657089233398 -25.544584274292
151.296249389648 -25.59375
151.518753051758 -25.2729167938232
151.988754272461 -25.3812503814697
151.297088623047 -25.59375
151.147079467773 -25.2804164886475
151.113754272461 -24.6129169464111
151.26042175293 -24.7454166412354
151.347076416016 -24.9920825958252
151.27458190918 -25.2129173278809
152.044586181641 -26.3004169464111
151.817916870117 -26.7379169464111
151.807922363281 -25.7104167938232
152.057083129883 -26.4704170227051
152.065414428711 -26.3170833587646
151.772079467773 -26.5012493133545
151.546249389648 -26.1812496185303
151.007919311523 -25.6804161071777
151.020416259766 -25.937084197998
151.307922363281 -26.2545833587646
151.331253051758 -25.7862491607666
152.376251220703 -24.9887504577637
152.422912597656 -24.9720840454102
152.240417480469 -25.0862503051758
152.391250610352 -25.1529159545898
152.368743896484 -25.2662506103516
152.495422363281 -25.952917098999
152.411254882812 -26.0054168701172
152.521255493164 -26.2154159545898
152.60041809082 -26.169584274292
152.785415649414 -26.077917098999
152.220413208008 -26.0787506103516
152.527084350586 -25.7662506103516
152.620422363281 -26.3645839691162
152.814590454102 -26.3295841217041
152.705413818359 -26.627082824707
152.743743896484 -26.5254173278809
152.644577026367 -26.3895835876465
152.872909545898 -26.7587509155273
152.722915649414 -25.8195838928223
153.042922973633 -26.0562496185303
152.903747558594 -26.5895824432373
152.958755493164 -26.6220836639404
152.939590454102 -26.562084197998
152.982086181641 -26.7604160308838
153.018753051758 -26.6620826721191
152.963745117188 -26.4945831298828
153.003753662109 -26.8779163360596
152.890411376953 -27.0970840454102
152.923751831055 -27.3462505340576
152.668746948242 -27.439582824707
152.273742675781 -26.8037490844727
152.405410766602 -26.9895839691162
152.137924194336 -26.7387504577637
152.446243286133 -27.2354164123535
152.115417480469 -27.5420837402344
152.530410766602 -27.4204158782959
152.36457824707 -27.7295837402344
152.51708984375 -27.4537506103516
152.215423583984 -27.6345825195312
152.165420532227 -27.6537494659424
152.388748168945 -27.5520839691162
152.132919311523 -27.6045837402344
