longitude,latitude,mean,std,cv,lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,RVunif,bcmean,RVunif_bc
-122.8395452,45.544839,1.4394,0.4183,0.2865,27,1,2,29,0,2,16,0,21,0,0,0,2701,27,128,39,54,46,38,16,9,16,1337,240,6,112,110,42,5386,266,4,262,50,182,182,46,25979,4286,404,59,12138,2065,12138,2065,159,309,1,20.6667523353516,0.360642421794379,2.69138621468938
-122.8375,45.5041666666666,1.2612,0.2188,0.2074,26,2,0,10,0,0,3,0,58,0,0,0,5282,28,129,37,58,46,39,15,7,19,1359,240,4,112,111,42,5386,268,5,263,51,183,183,47,51173,8492,800,60,23975,4099,23975,4099,113,145,1,46.8543121108489,0.230605271718876,1.86284487494316
-122.8375,45.5458333333333,1.5003,0.33175,0.2352,27,1,2,29,0,2,16,0,21,0,0,0,2701,27,128,39,54,46,38,16,9,16,1337,240,6,112,110,42,5386,266,4,262,50,182,182,46,25979,4286,404,59,12138,2065,12138,2065,159,309,1,18.4075870121966,0.401222583284824,2.75687799644982
-122.8374444,45.5056417,1.7667,0.2396,0.1325,26,2,0,10,0,0,3,0,58,0,0,0,5282,28,129,37,58,46,39,15,7,19,1359,240,4,112,111,42,5386,268,5,263,51,183,183,47,51173,8492,800,60,23975,4099,23975,4099,113,145,1,26.0241889893903,0.560395557294317,0.337100900519057
-122.829166666667,45.4958333333333,1.2861,0.2409,0.2314,29,1,0,10,0,0,5,0,55,0,0,0,8130,28,130,38,59,44,40,16,7,21,1357,240,4,113,111,42,5386,268,5,263,51,183,183,47,78711,13104,1228,60,36955,6275,36955,6275,112,154,1,32.3378475451792,0.249900532952805,1.68994508120289
-122.7964872,45.4573401,1.3345,0.2477,0.1939,29,1,0,8,0,0,3,0,59,0,0,0,17888,29,130,38,58,44,41,16,7,20,1349,240,4,113,110,42,5385,268,6,262,52,184,184,48,173874,28741,2742,59,81274,13989,81274,13989,109,152,2,10.1245966563093,0.286304141603443,2.03863329872216
-122.7792643,45.4406737,1.26,0.1695,0.1703,30,1,0,8,0,0,5,0,56,0,0,0,21482,29,130,38,59,43,41,16,7,21,1352,240,4,113,110,42,5385,268,6,262,52,184,184,48,208974,34580,3296,59,97736,16807,97736,16807,104,147,2,44.5801766672758,0.229665259101302,-1.87907399353697
-122.7748202,45.4709512,1.5324,0.2996,0.1955,38,0,0,7,0,0,1,0,54,0,0,0,5715,29,129,44,55,44,40,16,9,19,1318,240,7,113,109,41,5394,267,6,261,52,184,184,48,55554,9060,883,58,25756,4502,25756,4502,136,211,1,36.04056881711,0.421918737301595,-0.628344931244913
-122.7625,45.4208333333333,0.9187,0.1708,0.2045,30,1,0,8,0,0,5,0,56,0,0,0,23299,29,130,37,59,43,41,16,7,21,1353,240,4,113,110,42,5388,268,6,262,52,184,184,48,226756,37519,3576,59,106040,18246,106040,18246,102,146,2,42.7995912674711,-0.0849914892207119,0.137815786149587
-122.7573183,45.3859522,2.3732,0.7973,0.3359,33,0,4,26,0,3,26,0,8,0,0,0,465819,22,125,58,54,39,43,18,9,21,1240,240,5,107,114,43,5188,262,2,260,48,175,176,45,4215037,721912,55638,65,2035810,278532,2035810,278532,202,257,4,5.9181688664882,0.844241985108943,3.25245654612695
-122.7548185,45.403452,1.2489,0.2882,0.2286,29,1,0,8,0,0,4,0,57,0,0,0,26151,29,130,38,59,42,42,17,7,22,1352,240,4,113,110,42,5397,268,6,262,52,184,184,48,254595,42082,4021,59,118962,20499,118962,20499,102,152,2,39.0093814980126,0.220925128634387,3.45110168980983
-122.7397639,45.3836722,1.2257,0.2243,0.183,33,0,4,26,0,3,26,0,8,0,0,0,468598,22,125,58,54,39,43,18,9,21,1240,240,5,107,114,43,5188,262,2,260,48,175,176,45,4242248,726409,56072,65,2048464,280718,2048464,280718,201,256,4,22.2191055941572,0.202389934759444,-2.04527898456693
-122.6691667,45.5175,1.0106,0.2199,0.2462,59,0,2,16,0,2,18,0,2,0,0,0,8488753,12,116,70,53,43,41,16,13,20,1157,240,5,100,118,44,5290,263,-7,270,40,169,170,36,76416448,12742691,955095,63,36213712,5047035,36213712,5047035,567,454,5,44.2347896565273,0.0105411909587025,1.16924138248724
