SURVEYID,TRANSECT,POINT,VATH,EASTING,NORTHING
222,462711412,8,0,237435.5116,281689.818
223,462711412,9,0,237173.5074,281659.9664
224,462711412,10,0,236903.384,281699.6684
225,462711415,1,0,234988.3505,281705.4096
226,462711415,2,0,234814.0231,281851.8788
227,462711415,3,0,234622.5108,282019.4462
228,462711415,4,0,234643.0095,282293.3003
229,462711415,5,0,234518.3448,282509.1556
230,462711415,6,0,234556.6328,282737.4887
231,462711415,7,0,234505.8197,282986.6111
232,462711415,8,0,234415.6558,283250.4915
233,462711415,10,0,234094.239,283584.1421
234,462711501,1,1,176455.7839,288318.2939
235,462711501,2,1,176391.5353,288084.3271
236,462711501,3,1,176602.8196,287988.0657
237,462711501,4,1,176770.7226,287859.6526
238,462711501,5,1,176822.6212,287650.9304
239,462711501,6,0,177038.5939,287628.5795
240,462711501,7,0,177243.3317,287605.2443
241,462711501,9,0,177234.5025,287410.9449
242,462711501,10,0,177059.1053,287246.319
243,463111345,2,0,273863.2424,288502.1382
244,463111345,4,0,273785.7265,288730.1399
245,463111345,6,0,273880.2053,288969.9507
246,463111345,9,0,274201.1782,288980.3559
247,463111410,2,0,241220.3837,290506.0107
248,463111410,3,0,240874.751,290574.5747
249,463111410,4,0,240715.9357,290874.7654
250,463111410,5,0,241171.4941,291153.7833
251,463111547,2,1,117994.1583,300838.5951
252,463111547,3,1,117823.2965,301048.6451
253,463111547,4,0,117662.0293,301253.467
254,463111547,5,0,117452.9393,301437.6088
255,463111612,1,0,90406.74172,302515.1661
256,463111612,2,0,90176.65659,302371.8456
257,463111612,3,0,89954.30596,302048.2355
258,463311442,1,0,200872.2041,296507.3201
259,463311442,2,0,200881.0158,296789.7442
260,463311442,3,0,200885.7343,297056.842
261,463311442,4,0,200766.6885,297000.1444
262,463311442,5,0,200544.6751,296943.624
263,463311442,6,0,200359.2993,296987.1774
264,463311442,7,0,200156.5844,296851.3887
265,463311442,8,0,199991.921,296629.5004
266,463311442,9,0,199753.8679,296655.4167
267,463311442,10,0,199510.9753,296620.3832
268,463411339,1,0,281520.3029,294481.4919
269,463411339,2,0,281785.3138,294629.9702
270,463411339,3,0,282059.3795,294659.9671
271,463411339,4,0,282342.9784,294710.6245
272,463411541,2,1,126391.6179,304063.2501
273,463411541,3,1,126507.5763,303730.6624
274,463411541,4,0,126551.0256,303454.4419
275,463411541,6,0,126464.8078,303014.7217
276,463611602,2,0,98993.32451,310280.8475
277,463611602,3,1,98975.51979,310022.3888
278,463611602,4,0,99040.03307,309773.7709
279,463611602,5,1,99207.70822,309600.1919
280,463911335,3,0,286980.7657,302901.0578
281,463911335,4,0,287013.7043,303135.3571
282,463911335,5,0,287001.994,303409.8426
283,463911335,6,0,287265.2781,303484.0381
284,464011549,2,1,117612.6683,316588.3504
285,464011549,7,0,118122.0858,316509.3219
286,464011549,9,0,118383.9844,316444.7059
287,464011549,10,0,118656.5931,316532.0483
288,464111333,6,0,290366.1215,306208.5228
289,464111333,7,0,290603.4668,306191.7964
290,464111333,8,0,290891.0572,306124.6134
291,464111333,9,0,290803.2379,306337.3327
292,464111346,1,0,273186.1144,306625.3809
293,464111346,2,0,273382.1904,306399.7815
294,464111346,3,0,273597.123,306196.5435
295,464111346,4,0,273807.6303,306010.257
296,464111346,5,0,273647.2165,305766.2488
297,464111346,6,1,273537.4131,305607.4462
298,464111346,7,0,273247.6541,305452.3414
299,464111346,8,0,273050.9584,305286.9333
300,464111346,9,0,272793.4955,305147.0098
301,464111346,10,0,272516.1532,305064.1909
302,464111429,2,0,219066.6059,310305.144
303,464111429,3,0,219516.6129,310366.7393
304,464111429,4,0,219789.5488,310343.8135
305,464111429,5,0,220043.4353,310214.0484
306,464111541,2,0,126552.4765,316196.7776
307,464111541,3,0,126421.4237,316402.337
308,464111541,5,0,126083.5199,316583.0372
309,464111541,6,0,125990.1521,316770.0051
310,464211620,1,0,78210.83893,323905.6606
311,464211620,2,0,77927.61429,323285.9116
312,464211620,3,0,77471.9468,323450.2278
313,464211620,4,1,77201.07155,323075.9621
314,464211620,5,0,77360.15994,322611.8123
315,464211620,6,0,76978.27879,322507.874
316,464211620,7,0,76706.03238,322264.102
317,464211620,8,0,76348.2565,322251.6146
318,464411429,7,0,220238.6388,315340.1847
319,464411429,8,0,220380.4162,315592.534
320,464411429,9,0,220549.755,315709.8954
321,464611435,6,0,211906.3177,320977.7899
322,464611435,7,0,211749.0941,321160.7081
323,464611435,8,0,211543.3951,321480.4862
324,464611435,9,0,211342.6082,321710.8189
325,464611552,6,0,112063.5698,328914.7581
326,464611552,8,0,111619.486,328693.4226
327,464611552,9,0,111336.6151,328803.61
328,464811437,2,0,209685.9033,325750.0458
329,464811437,3,0,209845.0151,325978.9707
330,464811437,6,0,210406.7717,326674.0688
331,464911437,1,0,209563.2615,325482.6372
332,464911437,4,0,210016.0036,326208.4599
333,464911437,5,0,210169.4694,326462.4967
334,464911437,7,0,210545.0985,326922.6402
335,464911437,8,0,210651.1118,327199.8415
336,464911437,9,0,210804.6356,327490.6568
337,464911437,10,0,210928.6877,327693.1475
338,464911545,4,0,124017.1773,331797.7883
339,464911545,6,0,123809.0716,332249.4099
340,464911545,8,1,123529.0168,332595.2558
341,464911545,10,0,123314.5646,332708.33
342,464911639,2,0,54515.33819,339350.1778
343,464911639,3,0,54242.34101,339372.1875
344,464911639,4,0,54084.44913,339245.9868
345,464911639,5,0,53783.87594,339217.1771
346,465011526,2,0,146845.4523,333328.2994
347,465011526,3,0,146635.8354,333315.5882
348,465011526,6,0,146215.3569,332853.0669
349,465011526,7,0,146001.9981,332723.2453
350,465011526,8,0,145766.5743,332585.077
351,465011526,9,0,145588.2657,332433.6411
352,465011526,10,0,145573.7246,332202.8158
353,465011535,3,0,136182.7741,333695.8315
354,465011535,4,0,136338.5506,333829.7984
355,465011535,5,0,136307.6969,334032.9364
356,465011535,6,0,136367.6986,334145.3631
357,465011535,7,1,136306.0085,334296.2563
358,465011535,8,0,136448.555,334350.8484
359,465011535,9,0,136360.5242,334465.9853
360,465011535,10,0,136151.8699,334536.8733
361,465411416,1,0,237118.0286,335026.046
362,465411416,2,0,236959.0691,335247.3773
363,465411416,3,0,236799.0439,335501.0824
364,465411416,4,0,236552.6198,335676.5198
365,465411416,5,0,236271.1248,335664.7416
366,465411416,6,0,236037.226,335782.6261
367,465411416,7,0,235712.0141,335941.7508
368,465411416,8,0,235534.3444,336092.9773
369,465411416,9,0,235327.4488,336252.6829
370,465411416,10,0,235130.9815,336358.288
371,465411441,4,0,205393.4772,335311.9168
372,465411441,5,0,205613.9398,335228.2294
373,465411441,6,0,205834.4295,335167.9489
374,465411441,7,0,206080.5504,335102.6388
375,465611444,6,0,202112.6371,336914.1826
376,465611444,7,0,202273.2822,336690.6127
377,465611444,8,0,202370.9725,336404.3911
378,465611444,9,0,202306.1113,336073.3078
379,465711359,4,0,252911.6279,226085.1332
380,465711359,5,0,253171.33,226226.1401
381,465711359,6,0,253486.0742,226270.4956
382,465711359,7,0,253499.5526,226017.0073
383,465811650,1,0,41614.48767,356259.0102
384,465811650,2,0,41701.45236,356557.944
385,465811650,3,0,41772.49677,356801.4201
386,465811650,4,0,41792.02274,357082.1288
387,470011609,6,0,94637.247,351840.974
388,470011609,7,1,94494.04245,351683.5442
389,470011609,9,0,94047.69821,351625.9133
390,470011609,10,0,94305.44578,351441.491
391,470211521,3,0,156539.7154,354851.7034
392,470211521,4,0,156770.0422,354898.6148
393,470211521,5,0,157007.2936,354918.9276
394,470211521,6,0,157440.5014,354952.513
395,470311611,6,0,92694.17833,363328.9126
396,470311611,7,0,92732.45766,363678.2787
397,470311611,8,0,92779.3148,363896.3443
398,470311611,9,1,92836.95423,364133.5747
399,470411618,5,0,82919.83883,365392.0191
400,470411618,6,0,82760.40748,365488.9712
401,470411618,7,0,82826.46336,365686.1167
402,470411618,9,0,82620.27161,365907.2495
403,470611633,3,0,63949.39776,369818.7906
404,470611633,4,0,64202.60543,369683.227
405,470611633,5,0,64326.34917,369408.5537
406,470611633,6,0,64532.12136,369164.4259
407,470911425,4,0,226826.1524,361618.7288
408,470911425,5,0,226849.1176,361899.1516
409,470911425,6,0,226946.1167,362184.9431
410,470911425,7,0,227037.0432,362458.8626
411,471011426,7,1,226552.0458,364925.9482
412,471011426,8,0,226595.237,365129.3376
413,471011426,9,1,226754.7782,365335.4253
414,471011426,10,0,226984.2368,365397.8518
415,471011616,6,0,87326.02736,375343.4903
416,471011616,7,0,87084.48904,375276.8133
417,471011616,8,0,86938.69303,375057.9797
418,471011616,9,1,86834.22746,374820.1623
419,471111610,1,0,93858.21189,375797.7342
420,471111610,3,0,93541.1902,375626.8919
421,471111610,5,0,93521.47326,375397.4613
422,471111610,7,0,93914.56846,375341.615
423,471511601,5,0,106414.5671,383234.2231
424,471511601,7,0,106482.0724,383651.4687
425,471511601,9,1,106495.9472,384135.6788
426,471511601,10,0,106487.7804,384428.6986
427,471611332,2,0,294882.3297,370823.4395
428,471611332,3,0,294951.8061,371157.2177
429,471611332,4,0,295046.9709,371392.6966
430,471611332,5,0,295278.5117,370954.4575
431,471611454,1,0,192272.8903,377350.1211
432,471611454,2,0,191950.3745,377314.4065
433,471611454,3,0,191927.4567,377026.2017
434,471611454,4,0,191810.5795,376772.3444
435,471611659,3,0,110423.9545,383929.6913
436,471611659,5,0,110724.7053,383860.5932
437,471611659,7,0,111029.5208,383842.386
438,471611659,9,0,111318.8474,383669.0523
439,471711328,7,1,301156.9853,370433.2846
440,471711328,8,0,301180.3958,370131.5033
441,471711328,9,0,301310.7414,369876.6543
442,471711328,10,0,301459.7426,369600.8284
443,471711458,2,1,186892.557,379534.7651
444,471711458,3,0,187106.2411,379684.8031
445,471711458,4,0,187305.9319,379949.5167
446,471711458,5,0,187408.7059,380205.3946
447,471811527,1,0,150383.8557,384295.5543
448,471811527,3,0,150428.5965,383837.1734
449,471811527,5,1,150315.741,383370.714
450,471811527,7,1,150208.1685,382933.9622
451,471811637,6,0,63467.75633,389909.0206
452,471811637,8,0,63148.78422,389776.2446
453,471811637,9,0,62975.06899,389695.0236
454,471811637,10,0,62629.97404,389605.9615
455,471911516,1,0,164247.2639,383352.6471
456,471911516,2,0,164446.7531,383384.7652
457,471911516,3,0,164546.4728,383595.9427
458,471911516,4,0,164778.7709,383682.5149
459,471911516,5,0,164550.8943,383697.0762
460,471911516,6,0,164347.0549,383574.9659
461,471911516,7,0,164130.9576,383605.3987
462,471911516,8,0,163904.6705,383677.5102
463,471911516,9,0,163578.6348,383550.7323
464,471911524,5,0,153901.527,385912.2617
465,471911524,6,0,153792.4924,386144.6323
466,471911524,7,0,154098.3248,386320.0183
467,471911546,5,0,126981.6543,389344.8679
468,471911546,6,0,126926.584,389622.5767
469,471911546,7,0,126724.4877,389932.8231
470,471911546,8,0,126658.5424,390118.1528
471,471911617,5,0,87267.19277,389295.0573
472,471911617,7,0,86971.12585,389126.6914
473,471911617,8,0,86975.17544,388832.6901
474,471911617,9,0,86803.28669,388606.1042
475,471911639,2,0,58909.27298,393707.2424
476,471911639,3,0,58874.9973,393883.0124
477,471911639,4,0,58825.41607,394146.7233
478,471911639,5,0,58929.22794,394370.678
479,472111332,4,0,293893.5617,379603.603
480,472111332,6,0,293576.9177,379420.7043
481,472111332,7,0,293403.6647,379274.921
482,472111332,8,0,293362.7423,378996.4615
483,472111332,10,0,293170.2165,378508.7501
484,472411335,5,0,291868.0735,386908.3183
485,472411335,6,0,291830.6882,386626.3414
486,472411335,7,0,291882.0619,386307.4429
487,472411335,8,0,291960.0535,386020.5602
488,472411531,7,0,145210.459,394485.4596
489,472411531,8,0,145097.1037,394272.2714
490,472411531,9,0,144942.7025,394076.7498
491,472411531,10,0,144774.8982,393923.5297
492,472711535,3,0,141269.7729,402198.4714
493,472711535,4,0,141175.6381,402397.6362
494,472711535,5,0,140928.4812,402370.054
495,472711535,6,0,140689.6213,402448.9046
496,473111348,5,0,274203.6181,398400.425
497,473111348,6,0,273917.025,398497.5709
498,473111348,7,0,273912.875,398790.6865
499,473111348,8,0,274018.1282,399097.7944
500,473111521,1,0,160285.6211,408057.2415
501,473111521,2,0,160437.696,407782.2844
502,473111521,3,0,160536.4322,407573.5344
503,473111521,4,0,160457.1544,407322.9986
504,473111521,5,0,160407.8156,407034.5457
505,473111521,6,0,160398.5519,406781.1219
506,473111521,7,0,160447.5849,406505.2803
507,473111521,8,0,160486.8655,406262.6151
508,473111521,9,1,160556.1329,405986.4907
509,473111521,10,0,160738.0382,405782.2426
510,473811345,2,0,281712.2997,413576.6105
511,473811345,3,0,281670.9825,413313.8198
512,473811345,4,0,281549.8336,413049.7854
513,473811345,5,0,281536.203,412728.7037
514,473911605,1,0,105702.6671,426764.8697
515,473911605,2,0,105610.6939,426458.0561
516,473911605,3,0,105479.5831,426203.9763
517,473911605,4,0,105385.446,425937.8536
518,473911605,5,0,105296.4813,425714.3685
519,473911605,6,0,105169.8942,425456.1177
520,473911605,7,0,105134.5442,425224.7642
521,474011448,2,0,202030.7037,420247.6424
522,474011448,3,0,201948.7208,420537.3937
523,474011448,4,0,201752.3899,420772.491
524,474011448,5,0,201537.2576,420974.3228
525,474211513,2,1,171235.8454,427948.2099
526,474211513,3,1,171506.212,427951.8595
527,474211513,4,1,171767.1858,427868.131
528,474211513,5,1,172000.7244,427954.7652
529,474211513,6,1,172034.0276,428266.7332
530,474211513,7,1,171993.4659,428473.7188
531,474211513,8,0,171914.464,428700.2348
532,474211513,9,0,171862.7759,428991.6512
533,474611628,1,1,78523.14818,441868.5157
534,474611628,2,1,78319.43351,442022.8728
535,474611628,3,0,77980.72177,442080.998
536,474611628,4,0,77749.80115,442242.2701
537,474611628,5,0,77749.1014,442588.4015
538,474611628,6,0,77642.89531,442873.6245
539,474611628,7,0,77567.95273,443154.9414
540,474611628,8,0,77318.98911,443321.6427
541,474611628,9,0,77293.56286,443603.675
542,474611628,10,0,77002.76557,443540.3647
543,474811351,1,0,274059.2145,432962.4776
544,474811351,2,0,273848.171,433105.6327
545,474811351,3,0,273778.2755,433358.9812
546,474811351,4,0,273628.5668,433578.2447
547,474811351,5,0,273486.53,433937.6277
548,475011324,1,0,307328.9494,433106.7234
549,475011324,2,0,307405.5136,432835.7049
550,475011324,4,0,307380.9058,432345.9643
551,475011324,5,0,307358.0594,431948.5403
552,475111512,4,0,173166.0111,442120.1804
553,475111512,5,0,172931.4195,442001.2873
554,475111512,6,0,172702.5344,441981.2107
555,475111512,7,1,172467.1151,442046.3521
556,475411332,1,0,297656.7338,441498.6103
557,475411332,2,0,297513.1551,441212.0944
558,475411332,3,0,297374.5608,440920.8697
559,475411332,4,0,297178.9146,440655.9815
560,475411349,6,0,276939.0056,440767.5352
561,475411349,7,0,277017.0263,440484.8251
562,475411349,8,0,276988.297,440167.9181
563,475411349,9,0,277041.7697,439860.9509
564,475511525,1,1,157766.5598,452618.7881
565,475511525,2,1,157561.8718,452778.0307
566,475511525,3,1,157300.802,452956.6097
567,475511525,4,1,157216.4909,453222.4881
568,475511525,5,1,156935.9818,453575.0676
569,475511525,7,1,156594.9351,454164.0932
570,475511525,8,1,156536.3858,454468.507
571,475711638,2,0,57326.06515,353634.0324
572,475711638,3,0,57217.02164,353887.3968
573,475711638,4,0,57144.31084,354128.5103
574,475711638,5,0,56989.16897,354403.9599
575,475811513,6,1,172062.0779,456072.357
576,475811513,7,0,171880.52,456281.8957
577,475811513,8,0,171611.7764,456415.3383
578,475811513,9,0,171365.7581,456368.7401
579,475811605,1,1,99512.35194,351506.3229
580,475811605,2,1,99682.34608,351358.1055
581,475811605,3,1,99806.83687,351159.0506
582,475811605,5,0,100299.2733,351249.2723
583,475911328,4,0,304153.4396,449504.2323
584,475911328,5,0,304386.9182,449287.5612
585,475911328,7,0,304247.6339,448647.7651
586,475911328,9,0,304177.8813,448037.8503
587,480111426,2,0,231071.3353,458262.7615
588,480111426,3,0,230926.3779,458488.0709
589,480111426,4,0,230890.865,458765.5066
590,480111426,5,0,230813.0944,459001.0522
591,480411527,2,0,157038.9585,470429.7919
592,480411527,3,0,156857.7544,470189.3388
593,480411527,4,0,156928.637,469912.9728
594,480411527,5,0,156887.2764,469664.1066
595,480711543,2,1,139186.3496,476283.965
596,480711543,3,1,139389.7603,476070.4308
597,480711543,5,1,139875.0078,475648.4472
598,480711543,6,0,140046.979,475418.3543
599,480711543,7,1,140242.901,475213.2542
600,480811533,1,0,149644.7524,477711.852
601,480811533,2,1,149294.5658,477595.1256
602,480811533,3,1,149014.7088,477451.7743
603,480811533,4,0,148803.9373,477227.2388
604,480911350,1,0,276008.5452,471965.5598
605,480911350,2,0,276241.1149,471739.9208
606,480911350,3,0,276430.6906,471464.3434
607,480911350,4,1,276637.7889,471262.4099
608,480911350,5,0,276851.5269,471131.4969
609,480911350,6,0,277104.7669,470882.3653
610,480911350,7,0,277326.399,470672.9709
611,480911350,8,0,277443.5247,470339.0866
612,480911350,9,0,277645.7048,470087.3542
613,480911350,10,0,277941.7346,469843.689
614,481111439,2,0,217240.6571,478370.8812
615,481111439,3,0,216993.1369,478323.6697
616,481111439,4,0,216741.4523,478439.4282
617,481111439,5,0,216477.3708,478491.3875
618,481211509,2,1,178585.1784,482660.4796
619,481211509,3,1,178499.0822,482963.2595
620,481211509,4,1,178578.3318,483192.7294
621,481211509,5,0,178931.6202,483255.176
622,481311525,2,0,161183.224,486357.5757
623,481311525,3,0,160993.1938,486170.1216
624,481311525,4,0,160725.7844,486004.1374
625,481311525,5,0,160482.04,485757.2048
626,481511324,1,0,309425.7917,480899.7233
627,481511324,2,0,309610.7711,480703.4519
628,481511324,3,0,309672.9222,480399.7719
629,481511324,4,0,309805.1417,480173.8599
630,481511324,5,0,309873.071,479911.0838
631,481511324,6,0,310014.2585,479730.3724
632,481511324,7,0,310115.7511,479469.265
633,481511324,8,0,310245.6645,479285.7825
634,481511324,9,0,310412.7565,479087.0922
635,481511324,10,0,310661.8963,479042.4016
636,481811439,7,1,217309.6831,490306.8233
637,481811439,8,0,216987.4924,490382.6845
638,481811439,9,0,216662.054,490341.7806
