ID NUTS YYYY MM 0 BAREA
178 BG343 2007 07 4 193.754
179 BG343 2007 08 5 1154.31
180 BG343 2007 09 2 1.12145
181 BG344 2005 01 3 4.74859
182 BG344 2005 03 2 7.04468
183 BG344 2005 04 4 138.517
184 BG344 2006 07 3 17.2738
185 BG344 2006 08 4 3.55306
186 BG344 2006 09 5 18.4984
187 BG344 2007 03 5 1.85917
188 BG344 2007 04 5 4.82415
189 BG344 2007 05 2 3.05647
190 BG344 2007 06 3 1.7138
191 BG344 2007 07 3 5720.55
192 BG344 2007 08 3 59.9997
193 BG344 2007 09 2 2.61198
194 BG411 2005 03 2 1.01033
195 BG411 2005 04 2 28.9588
196 BG411 2006 05 2 0.27316
197 BG411 2006 08 5 1.57985
198 BG411 2006 09 3 0.769804
199 BG411 2006 10 2 0.861993
200 BG411 2006 11 2 0.119801
201 BG411 2007 01 2 0.125264
202 BG411 2007 03 2 19.4587
203 BG411 2007 04 4 1.18276
204 BG411 2007 05 2 0.202724
205 BG411 2007 07 4 4.77007
206 BG412 2005 02 3 54.2146
207 BG412 2005 03 3 55.5808
208 BG412 2005 04 3 221.366
209 BG412 2005 05 2 0.676884
210 BG412 2006 01 2 0.863629
211 BG412 2006 03 2 25.9191
212 BG412 2006 04 4 0.878514
213 BG412 2006 05 2 0.621264
214 BG412 2006 08 5 5.98766
215 BG412 2006 09 5 15.6847
216 BG412 2006 10 2 0.0838813
217 BG412 2006 11 2 0.582587
218 BG412 2006 12 2 49.6206
219 BG412 2007 01 2 357.321
220 BG412 2007 02 5 15.001
221 BG412 2007 03 5 1563.86
222 BG412 2007 04 5 1118.17
223 BG412 2007 05 5 79.8004
224 BG412 2007 06 3 15.4517
225 BG412 2007 07 3 1100.8
226 BG412 2007 08 4 12.9193
227 BG413 2005 03 4 51.1086
228 BG413 2005 04 5 33.3638
229 BG413 2005 05 3 2.01096
230 BG413 2005 06 3 7.07514
231 BG413 2005 07 3 2.50366
232 BG413 2005 08 3 2.27731
233 BG413 2005 10 2 1.18454
234 BG413 2005 11 2 26.345
235 BG413 2006 02 2 42.3976
236 BG413 2006 03 4 5.38129
237 BG413 2006 04 3 2.72704
238 BG413 2006 06 2 1.86938
239 BG413 2006 07 3 0.414349
240 BG413 2006 08 3 22.1535
241 BG413 2006 09 3 12.0215
242 BG413 2007 01 3 5.14457
