NUTS YYYY MM 0 BAREA
CY000 2001 09 4 55.9374
CY000 2001 10 4 74.6056
CY000 2001 11 4 5.39532
DE124 2001 07 2 0.081426
DE128 2001 09 3 0.076065
DE129 2001 07 2 0.965376
DE412 2001 05 4 0.389763
DE412 2001 07 5 0.231797
DE413 2001 07 4 0.088159
DE414 2001 05 2 0.128885
DE415 2001 04 4 2.28365
DE415 2001 05 4 3.72977
DE415 2001 06 4 0.728217
DE415 2001 07 4 2.60132
DE415 2001 08 4 0.400608
DE416 2001 05 2 0.0665954
DE417 2001 05 4 0.165737
DE421 2001 07 3 0.0997191
DE422 2001 06 2 0.0155788
DE424 2001 05 5 0.86585
DE424 2001 06 5 0.149352
DE424 2001 07 5 0.0507112
DE424 2001 08 3 0.130738
DE425 2001 04 2 0.0724194
DE425 2001 05 2 0.66708
DE425 2001 08 2 0.0421668
CY000 2002 02 4 0.231972
CY000 2002 03 4 0.958884
CY000 2002 04 3 0.0165195
CY000 2002 05 3 27.1889
CY000 2002 06 3 115.975
CY000 2002 07 3 59.9245
CY000 2002 08 3 863.556
CY000 2002 09 3 184.671
CY000 2002 10 3 374.937
CY000 2002 11 3 139.895
CY000 2002 12 4 0.32389
DE129 2002 08 2 1.00398
DE412 2002 03 4 1.01587
DE412 2002 04 5 3.68798
DE412 2002 05 3 0.0953768
DE412 2002 07 2 0.414045
DE412 2002 09 3 0.195143
DE413 2002 03 3 0.612798
DE413 2002 04 2 0.00520623
DE413 2002 06 2 0.25516
DE413 2002 07 3 2.655
DE413 2002 08 2 0.0126309
DE414 2002 05 2 0.00790377
DE414 2002 08 2 0.347406
DE414 2002 09 3 1.27069
DE414 2002 10 2 0.0957212
DE415 2002 04 5 0.356472
DE415 2002 06 4 0.333388
DE415 2002 07 4 0.645433
DE415 2002 08 4 0.199384
DE416 2002 04 2 0.0711995
DE416 2002 06 4 0.371055
DE416 2002 09 2 0.0350267
DE418 2002 06 2 0.0256104
DE418 2002 08 2 0.0269474
DE421 2002 04 2 0.357042
DE422 2002 07 2 0.00517562
DE422 2002 09 2 0.0399912
DE424 2002 03 2 0.0234896
DE424 2002 04 3 0.256172
DE424 2002 05 2 0.0119914
DE424 2002 06 5 2.12954
DE424 2002 07 5 2.31205
DE424 2002 08 5 1.01519
DE424 2002 09 4 0.0776358
DE425 2002 02 2 0.0125149
DE425 2002 03 2 0.492932
DE425 2002 04 4 1.06466
CY000 2003 04 4 1.47138
CY000 2003 05 4 123.587
CY000 2003 06 4 101.362
CY000 2003 07 4 392.476
CY000 2003 08 4 511.32
CY000 2003 09 4 210.032
CY000 2003 10 4 681.85
CY000 2003 11 4 34.2503
CY000 2003 12 4 3.02977
DE121 2003 08 2 0.162159
DE122 2003 08 2 0.866864
DE123 2003 04 3 0.114334
DE123 2003 05 2 0.0295618
DE123 2003 08 5 0.392577
DE124 2003 03 2 0.255276
DE124 2003 06 2 0.142021
DE124 2003 07 3 2.2447
DE124 2003 08 2 0.0609876
DE124 2003 09 2 0.0136845
DE126 2003 03 2 0.0330138
DE126 2003 07 2 0.0148902
DE126 2003 08 4 0.182073
DE127 2003 04 3 1.72321
DE127 2003 08 3 0.112151
DE127 2003 09 2 0.0655755
DE128 2003 04 2 0.218954
DE128 2003 06 2 0.0558414
DE128 2003 07 2 0.0110147
DE128 2003 08 2 3.89687
DE129 2003 08 2 0.866864
DE129 2003 09 2 0.35396
DE12A 2003 03 2 0.278345
DE12A 2003 04 2 0.293185
DE12A 2003 09 2 0.0487216
DE12C 2003 03 3 0.158382
DE12C 2003 04 3 0.17952
DE12C 2003 08 2 0.228436
DE12C 2003 09 2 0.0426462
DE411 2003 06 2 0.376554
DE412 2003 03 4 1.72301
DE412 2003 04 4 21.0501
DE412 2003 05 3 0.0309936
DE412 2003 06 3 6.22654
DE412 2003 07 2 0.155251
DE412 2003 08 2 0.839962
DE412 2003 09 2 0.026047
DE413 2003 03 2 5.2789
DE413 2003 04 3 0.249118
DE413 2003 05 2 0.00582479
DE413 2003 08 4 0.105572
DE414 2003 03 3 1.18491
DE414 2003 04 4 1.7882
DE414 2003 05 5 0.742903
DE414 2003 06 2 0.00525537
DE414 2003 07 3 0.749055
DE414 2003 08 3 1.75443
