lon,lat,scientific_name
-79.1325474,-4.4948845,Lepidocolaptes_lacrymiger
-74.0448,11.1098,Lepidocolaptes_lacrymiger
-75.3333333,-10.6166667,Lepidocolaptes_lacrymiger
-75.3333333,-10.6166667,Lepidocolaptes_lacrymiger
-77.8404444,-0.6236667,Lepidocolaptes_lacrymiger
-67.8195262,-16.2190681,Lepidocolaptes_lacrymiger
-67.8264731,-16.29262,Lepidocolaptes_lacrymiger
-74.0673351,11.112464,Lepidocolaptes_lacrymiger
-76.5833333,3.5666667,Lepidocolaptes_lacrymiger
-76.5833333,3.5666667,Lepidocolaptes_lacrymiger
-78.683279,-0.017452,Lepidocolaptes_lacrymiger
-75.3333333,-10.6166667,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-77.85415,-6.714483,Lepidocolaptes_lacrymiger
-78.678405,0.003758,Lepidocolaptes_lacrymiger
-77.9586411,-0.4339558,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-67.3182106,10.4013776,Lepidocolaptes_lacrymiger
-78.6829537,0.0111862,Lepidocolaptes_lacrymiger
-79.1369453,-4.216202,Lepidocolaptes_lacrymiger
-74.054933,11.111583,Lepidocolaptes_lacrymiger
-75.577607,4.72895,Lepidocolaptes_lacrymiger
-76.6468897,3.337594,Lepidocolaptes_lacrymiger
-77.9586411,-0.4339558,Lepidocolaptes_lacrymiger
-78.683279,-0.017452,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-78.678405,0.003758,Lepidocolaptes_lacrymiger
-71.0647222,8.6216667,Lepidocolaptes_lacrymiger
-71.0647222,8.6216667,Lepidocolaptes_lacrymiger
-71.5999603,-13.1924849,Lepidocolaptes_lacrymiger
-78.678405,0.003758,Lepidocolaptes_lacrymiger
-78.77841,-0.0510693,Lepidocolaptes_lacrymiger
-78.7382412,-0.0302124,Lepidocolaptes_lacrymiger
-78.8665581,-0.3479555,Lepidocolaptes_lacrymiger
-75.6282306,4.5928517,Lepidocolaptes_lacrymiger
-64.66587,-17.82745,Lepidocolaptes_lacrymiger
-78.7516737,-0.0763736,Lepidocolaptes_lacrymiger
-78.67632,-0.010552,Lepidocolaptes_lacrymiger
-75.4379167,5.0733333,Lepidocolaptes_lacrymiger
-78.678405,0.003758,Lepidocolaptes_lacrymiger
-78.7772942,-0.0505543,Lepidocolaptes_lacrymiger
-71.0647222,8.6216667,Lepidocolaptes_lacrymiger
-78.681206,-0.015922,Lepidocolaptes_lacrymiger
-76.6145668,3.433511,Lepidocolaptes_lacrymiger
-78.6738,0.0169841,Lepidocolaptes_lacrymiger
-78.77841,-0.0510693,Lepidocolaptes_lacrymiger
-67.5909777,10.3690176,Lepidocolaptes_lacrymiger
-78.681206,-0.015922,Lepidocolaptes_lacrymiger
-77.8812912,-0.5898374,Lepidocolaptes_lacrymiger
-78.69729,0.00859,Lepidocolaptes_lacrymiger
-77.882201,-0.5911896,Lepidocolaptes_lacrymiger
-79.1219057,-4.47601,Lepidocolaptes_lacrymiger
-65.8113686,-17.1942744,Lepidocolaptes_lacrymiger
-64.1824716,-18.0991773,Lepidocolaptes_lacrymiger
-78.736835,-0.0222688,Lepidocolaptes_lacrymiger
-76.6203,3.5176,Lepidocolaptes_lacrymiger
-75.498222,4.69375,Lepidocolaptes_lacrymiger
-75.577607,4.72895,Lepidocolaptes_lacrymiger
-75.498222,4.69375,Lepidocolaptes_lacrymiger
-75.498222,4.69375,Lepidocolaptes_lacrymiger
-77.8880882,-0.6049235,Lepidocolaptes_lacrymiger
-67.8329372,-16.2672058,Lepidocolaptes_lacrymiger
-71.4020319,8.648269,Lepidocolaptes_lacrymiger
-71.4020319,8.648269,Lepidocolaptes_lacrymiger
-75.5356836,4.8451082,Lepidocolaptes_lacrymiger
