global_unique_identifier,latitude,longitude,scientific_name,observation_date,effort_distance_km,effort_area_ha,cartodb_id,created_at,updated_at
URN:CornellLabOfOrnithology:EBIRD:OBS183504984,-10.6166667,-75.3333333,Lepidocolaptes lacrymiger,2/20/82,8.5,,54234,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS205963300,-0.6236667,-77.8404444,Lepidocolaptes lacrymiger,1/10/97,1.609,,58838,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS209971536,-16.2190681,-67.8195262,Lepidocolaptes lacrymiger,7/22/79,1,,58844,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS212794360,-16.29262,-67.8264731,Lepidocolaptes lacrymiger,7/26/81,2,,59182,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS209208811,11.112464,-74.0673351,Lepidocolaptes lacrymiger,3/20/76,,,60188,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS237118481,3.5666667,-76.5833333,Lepidocolaptes lacrymiger,10/31/03,,,64967,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS237103065,3.5666667,-76.5833333,Lepidocolaptes lacrymiger,11/1/03,4,,67996,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS239692750,-0.017452,-78.683279,Lepidocolaptes lacrymiger,8/20/98,6.437,,68364,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS242368509,-10.6166667,-75.3333333,Lepidocolaptes lacrymiger,2/22/82,5,,68688,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS245829482,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,5/30/97,8.047,,69284,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS47818369,-6.714483,-77.85415,Lepidocolaptes lacrymiger,9/25/02,,,70150,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS61572514,0.003758,-78.678405,Lepidocolaptes lacrymiger,10/29/04,,,76576,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS63428248,-0.4339558,-77.9586411,Lepidocolaptes lacrymiger,10/26/90,6.437,,76882,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS122538030,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,8/4/03,,,88201,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS122636760,10.4013776,-67.3182106,Lepidocolaptes lacrymiger,3/3/04,3.219,,88214,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS138794231,0.0111862,-78.6829537,Lepidocolaptes lacrymiger,2/1/04,,,92079,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS148261630,-4.216202,-79.1369453,Lepidocolaptes lacrymiger,6/30/94,12,,93206,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176649049,11.111583,-74.054933,Lepidocolaptes lacrymiger,3/18/00,,,98905,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176661788,4.72895,-75.577607,Lepidocolaptes lacrymiger,5/5/04,,,98915,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS176688476,3.337594,-76.6468897,Lepidocolaptes lacrymiger,2/3/96,,,98939,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS180880640,-0.4339558,-77.9586411,Lepidocolaptes lacrymiger,3/10/91,8,,100145,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS186761995,-0.017452,-78.683279,Lepidocolaptes lacrymiger,8/5/03,,,101361,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS205964740,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,1/10/97,4.828,,105122,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS213060249,0.003758,-78.678405,Lepidocolaptes lacrymiger,2/7/04,,,105427,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS215049796,8.6216667,-71.0647222,Lepidocolaptes lacrymiger,1/29/94,5,,105810,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
URN:CornellLabOfOrnithology:EBIRD:OBS215625165,8.6216667,-71.0647222,Lepidocolaptes lacrymiger,1/29/94,5,,106280,2015-02-18 10:19:10.107835+00,2015-02-24 16:54:27.802396+00
