global_unique_identifier,latitude,longitude,scientific_name,observation_date,effort_distance_km,effort_area_ha,cartodb_id,created_at,updated_at
URN:CornellLabOfOrnithology:EBIRD:OBS103476719,-0.0102997,-78.6566162,Lepidocolaptes lacrymiger,7/27/10,2,,1359783,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS106103667,-0.015922,-78.681206,Lepidocolaptes lacrymiger,12/23/10,4.828,,1361389,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS124289297,-9.6736129,-76.0844421,Lepidocolaptes lacrymiger,5/3/10,8.047,,1362414,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS221015729,11.1007938,-74.0721631,Lepidocolaptes lacrymiger,1/14/10,20,,1363264,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS224550481,-10.32291,-75.58422,Lepidocolaptes lacrymiger,9/4/10,4,,1363534,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS231889103,0.003758,-78.678405,Lepidocolaptes lacrymiger,11/24/10,,40.4686,1364040,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS176740286,4.72895,-75.577607,Lepidocolaptes lacrymiger,10/5/10,,,1364165,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS235826434,-5.6834627,-77.7792549,Lepidocolaptes lacrymiger,5/14/10,8.047,,1364250,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS238453589,-5.6958833,-77.8074667,Lepidocolaptes lacrymiger,5/11/10,0.402,,1364384,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS249507723,-0.015922,-78.681206,Lepidocolaptes lacrymiger,12/4/10,,,1364535,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS238471704,-5.6834627,-77.7792549,Lepidocolaptes lacrymiger,5/14/10,8.047,,1366420,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS252912936,11.112464,-74.0673351,Lepidocolaptes lacrymiger,2/7/10,,,1367037,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS252175142,5.0827198,-75.4092979,Lepidocolaptes lacrymiger,1/27/10,,,1367056,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS85445600,3.5798306,-76.5720944,Lepidocolaptes lacrymiger,2/17/10,,0.0809,1368645,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS86361088,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,2/3/10,4,,1369296,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS86355755,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,1/31/10,2,,1369314,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS87948685,-0.37379,-78.0783749,Lepidocolaptes lacrymiger,3/12/10,6.984,,1371414,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS86430418,-0.0308132,-78.7644625,Lepidocolaptes lacrymiger,2/9/10,5,,1371569,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS86459375,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,2/18/10,4,,1371667,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS93286435,-9.6951729,-76.0867619,Lepidocolaptes lacrymiger,5/22/10,2.012,,1377924,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS95243432,0.003758,-78.678405,Lepidocolaptes lacrymiger,7/2/10,6,,1379642,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS96052010,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,7/6/10,2.5,,1380418,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS96042936,-0.0102997,-78.6566162,Lepidocolaptes lacrymiger,7/10/10,10,,1380422,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS98618272,-6.7502778,-77.7986111,Lepidocolaptes lacrymiger,8/13/10,2.414,,1384344,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS98503108,-5.876966,-77.9871368,Lepidocolaptes lacrymiger,8/27/10,22.53,,1384505,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS98404441,-6.7502778,-77.7986111,Lepidocolaptes lacrymiger,8/13/10,2.414,,1386090,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS99871594,-17.82745,-64.66587,Lepidocolaptes lacrymiger,9/6/10,,,1389226,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS115171805,11.112464,-74.0673351,Lepidocolaptes lacrymiger,4/2/11,,,1401940,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS122241198,10.3531699,-67.1238899,Lepidocolaptes lacrymiger,7/3/11,8,,1407788,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS122072938,-0.5939377,-77.8834534,Lepidocolaptes lacrymiger,6/14/11,1.207,,1409652,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS123147274,-0.5939377,-77.8834534,Lepidocolaptes lacrymiger,6/15/11,,4.0469,1411406,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS125726576,-13.1655196,-71.5988445,Lepidocolaptes lacrymiger,8/4/11,8.047,,1412523,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS125522687,-11.51065,-74.8494,Lepidocolaptes lacrymiger,7/1/11,,,1415323,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS132524990,-0.38,-78.074,Lepidocolaptes lacrymiger,9/1/11,1.127,,1424960,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS143332784,-10.2830212,-75.5488866,Lepidocolaptes lacrymiger,10/3/11,64.374,,1429285,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS143685623,-13.1208586,-71.5688052,Lepidocolaptes lacrymiger,11/1/11,8.047,,1429306,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS143539663,0.003758,-78.678405,Lepidocolaptes lacrymiger,11/6/11,3.219,,1429314,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS153943284,-13.0643833,-71.5396167,Lepidocolaptes lacrymiger,11/12/11,0.805,,1429729,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS186864734,0.161225,-78.846977,Lepidocolaptes lacrymiger,8/26/11,60,,1431186,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS179275250,0.01117,-78.677396,Lepidocolaptes lacrymiger,12/3/11,8.047,,1434259,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS198070257,-0.0275,-78.762,Lepidocolaptes lacrymiger,2/14/11,,,1435344,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS138477912,6.4317162,-76.0911369,Lepidocolaptes lacrymiger,1/27/12,2,,1444628,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS139001145,-0.010175,-78.675913,Lepidocolaptes lacrymiger,1/4/12,,,1445773,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS142270365,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,2/10/12,4.023,,1447919,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS142281058,-0.0308132,-78.7644625,Lepidocolaptes lacrymiger,2/6/12,1.609,,1447939,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS145555620,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,2/23/12,3.219,,1449325,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS158712613,0.003758,-78.678405,Lepidocolaptes lacrymiger,6/18/12,1,,1466127,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS158857447,10.3531699,-67.1238899,Lepidocolaptes lacrymiger,7/15/12,20,,1466361,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS159669954,-0.0387096,-78.7685094,Lepidocolaptes lacrymiger,7/13/12,64.374,,1469262,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS161000301,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,6/22/12,0.2,,1471416,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS162477653,0.11838,-78.61205,Lepidocolaptes lacrymiger,8/19/12,1.7,,1474363,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS166026118,-13.072196,-71.551495,Lepidocolaptes lacrymiger,10/7/12,,,1478968,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS168326749,0.3518178,-78.560679,Lepidocolaptes lacrymiger,10/15/12,6.437,,1485859,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS170116752,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,11/7/12,1.609,,1486365,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS174020029,5.0525,-76.198,Lepidocolaptes lacrymiger,11/1/12,4.828,,1494194,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS175303570,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,11/5/12,1.609,,1495531,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS192553490,-0.0251484,-78.7579823,Lepidocolaptes lacrymiger,10/25/12,1,,1497151,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS201218549,3.5176,-76.6203,Lepidocolaptes lacrymiger,3/7/12,,,1497411,2015-02-18 10:19:10.107835+00,2015-02-24 17:04:51.529056+00
URN:CornellLabOfOrnithology:EBIRD:OBS206870291,11.112464,-74.0673351,Lepidocolaptes lacrymiger,2/3/12,,,1500413,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS239960722,-13.1750985,-71.5867263,Lepidocolaptes lacrymiger,8/22/12,1.609,,1500529,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS212408933,-0.0207474,-78.7432888,Lepidocolaptes lacrymiger,9/5/12,,,1500577,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS245993930,-0.015922,-78.681206,Lepidocolaptes lacrymiger,11/19/12,7.242,,1503103,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS252903033,4.6072077,-74.3213081,Lepidocolaptes lacrymiger,8/25/12,4,,1503150,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS180606492,10.5407908,-66.9013136,Lepidocolaptes lacrymiger,2/9/13,1,,1511391,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS180744852,5.1302693,-76.0082245,Lepidocolaptes lacrymiger,2/10/13,2,,1511660,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS182692062,5.0827198,-75.4092979,Lepidocolaptes lacrymiger,2/9/13,3.219,,1513716,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS183412639,-0.3709576,-78.0815987,Lepidocolaptes lacrymiger,2/20/13,1.609,,1514641,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS180940390,11.112464,-74.0673351,Lepidocolaptes lacrymiger,2/14/13,1.931,,1515324,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS185383609,5.0834,-75.5001,Lepidocolaptes lacrymiger,3/9/13,5.633,,1522241,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS187874470,-4.5480194,-79.129715,Lepidocolaptes lacrymiger,3/12/13,8.047,,1522354,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS185523058,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,2/23/13,3.219,,1522440,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS197933971,11.1117902,-74.0382385,Lepidocolaptes lacrymiger,5/17/13,1,,1539646,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS199247036,-5.69526,-77.81195,Lepidocolaptes lacrymiger,5/28/13,3,,1541161,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS204346837,0.01117,-78.677396,Lepidocolaptes lacrymiger,7/4/13,3.219,,1543468,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS204767269,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,7/12/13,3.219,,1543895,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS203296183,0.85428,-78.03101,Lepidocolaptes lacrymiger,6/23/13,,,1545473,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS208648207,11.100757,-74.0720129,Lepidocolaptes lacrymiger,2/16/13,,,1549360,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS209531456,-0.6049235,-77.8880882,Lepidocolaptes lacrymiger,8/31/13,3.5,,1550895,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS210344054,-0.6049235,-77.8880882,Lepidocolaptes lacrymiger,9/4/13,4,,1552422,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS211923927,11.10088,-74.071968,Lepidocolaptes lacrymiger,9/24/13,2.993,,1555699,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS216782392,3.5,-76.6333333,Lepidocolaptes lacrymiger,11/6/13,8.047,,1565554,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS217298986,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,8/13/13,2,,1566585,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS159604804,0.0202778,-78.7072222,Lepidocolaptes lacrymiger,3/14/12,1.609,,1582349,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS161000670,-0.026744,-78.763631,Lepidocolaptes lacrymiger,6/19/12,,,1584720,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS161000743,0.003758,-78.678405,Lepidocolaptes lacrymiger,6/18/12,1,,1586145,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS163546675,-13.17066,-71.60379,Lepidocolaptes lacrymiger,8/23/12,1.931,,1589434,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS163546118,-13.1750985,-71.5867263,Lepidocolaptes lacrymiger,8/22/12,1.609,,1589435,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS163260835,-13.17066,-71.60379,Lepidocolaptes lacrymiger,8/23/12,1.931,,1590196,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS166712200,-6.3245513,-78.1882359,Lepidocolaptes lacrymiger,9/23/12,8,,1594851,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS168247199,-18.5464452,-63.9445286,Lepidocolaptes lacrymiger,10/19/12,1.609,,1597660,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS171102019,-3.6580581,-79.2696719,Lepidocolaptes lacrymiger,9/16/12,7,,1603019,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS172329939,-0.0037542,-78.6614936,Lepidocolaptes lacrymiger,11/17/12,,,1605421,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS171725515,4.43686,-75.34673,Lepidocolaptes lacrymiger,11/12/12,,,1607688,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS181385647,11.112464,-74.0673351,Lepidocolaptes lacrymiger,7/26/12,64.374,,1611254,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS180178031,-14.616,-68.95,Lepidocolaptes lacrymiger,2/29/12,1.2,,1611459,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS188850397,0.161225,-78.846977,Lepidocolaptes lacrymiger,6/23/12,8.047,,1611722,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS188850296,-0.3709576,-78.0815987,Lepidocolaptes lacrymiger,6/25/12,8.047,,1611766,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS197464984,10.9627643,-73.5932922,Lepidocolaptes lacrymiger,1/17/12,8.047,,1611925,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS212408919,-0.0207474,-78.7432888,Lepidocolaptes lacrymiger,9/4/12,0.322,,1612615,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS214573629,-14.6,-68.935,Lepidocolaptes lacrymiger,3/3/12,2,,1612768,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS174474881,-0.0302124,-78.7382412,Lepidocolaptes lacrymiger,11/18/12,64.372,,1612802,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS176183490,-0.3709576,-78.0815987,Lepidocolaptes lacrymiger,12/29/12,,,1613633,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS234326960,5.1275337,-75.4450035,Lepidocolaptes lacrymiger,11/10/12,16.093,,1614986,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS232605776,0.003758,-78.678405,Lepidocolaptes lacrymiger,6/1/12,,,1615031,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS247631443,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,12/15/12,6.437,,1615427,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS176679303,3.5666667,-76.5833333,Lepidocolaptes lacrymiger,1/12/13,5,,1622854,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS177413159,11.112464,-74.0673351,Lepidocolaptes lacrymiger,1/18/13,3.235,,1623737,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS178946566,10.5407908,-66.9013136,Lepidocolaptes lacrymiger,1/25/13,15,,1626546,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS179223844,-0.5898374,-77.8812912,Lepidocolaptes lacrymiger,1/24/13,0.998,,1627175,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS180248521,10.5407908,-66.9013136,Lepidocolaptes lacrymiger,2/9/13,1,,1628654,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS181393822,-0.0248677,-78.7432903,Lepidocolaptes lacrymiger,2/8/13,32.187,,1631016,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS182696666,5.0827198,-75.4092979,Lepidocolaptes lacrymiger,2/11/13,1.609,,1631856,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS186947514,11.1113143,-74.0549111,Lepidocolaptes lacrymiger,3/9/13,0.6,,1635381,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS189535224,0.238692,-78.541871,Lepidocolaptes lacrymiger,1/23/13,,,1639728,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS196996978,-0.3709576,-78.0815987,Lepidocolaptes lacrymiger,1/13/13,1.609,,1651045,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS199715448,-0.0489235,-78.7674236,Lepidocolaptes lacrymiger,5/31/13,8.047,,1653684,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS197966619,11.1117902,-74.0382385,Lepidocolaptes lacrymiger,5/19/13,5,,1654269,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS201206515,-6.5056747,-77.7227783,Lepidocolaptes lacrymiger,5/29/13,,,1654955,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS201778800,0.00859,-78.69729,Lepidocolaptes lacrymiger,6/12/13,,,1655577,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS203046323,0.37525,-78.47603,Lepidocolaptes lacrymiger,6/30/13,6,,1656988,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS203278105,0.85428,-78.03101,Lepidocolaptes lacrymiger,6/23/13,,,1657201,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS205130274,5.0827198,-75.4092979,Lepidocolaptes lacrymiger,7/18/13,4.828,,1658881,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS203324469,0.11838,-78.61205,Lepidocolaptes lacrymiger,7/3/13,,,1660075,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS207780948,0.0072519,-78.7108602,Lepidocolaptes lacrymiger,8/15/13,1,,1662688,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS206087360,-5.663279,-78.943362,Lepidocolaptes lacrymiger,3/9/13,8,,1664143,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS206181890,0.11838,-78.61205,Lepidocolaptes lacrymiger,7/29/13,,,1664337,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS206721808,-13.1296356,-71.5747261,Lepidocolaptes lacrymiger,7/1/13,,,1665486,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS207088844,-0.009803,-78.675227,Lepidocolaptes lacrymiger,1/13/13,8.047,,1666294,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
URN:CornellLabOfOrnithology:EBIRD:OBS208801349,3.5798306,-76.5720944,Lepidocolaptes lacrymiger,8/24/13,1.5,,1669482,2015-02-18 10:19:10.107835+00,2015-02-24 17:06:05.292202+00
