FID,mean,stdev,min
0,2.55072461234199,0.258913423813554,2.39626359939575
1,2.55072461234199,0.258913423813554,2.39626359939575
2,2.55072461234199,0.258913423813554,2.39626359939575
3,2.38371075524224,0.123817613005631,2.05027174949646
4,2.38313709364997,0.0966212205899817,2.13328814506531
5,2.38313709364997,0.0966212205899817,2.13328814506531
6,2.38313709364997,0.0966212205899817,2.13328814506531
7,2.28394473923577,0.147449011336474,1.97778534889221
8,2.28257846832275,0.255285970900108,2.01297545433044
9,5.51748943328857,2.38724052210076,2.38226890563965
10,5.51748943328857,2.38724052210076,2.38226890563965
11,5.51748943328857,2.38724052210076,2.38226890563965
12,5.51748943328857,2.38724052210076,2.38226890563965
13,5.51748943328857,2.38724052210076,2.38226890563965
14,5.51748943328857,2.38724052210076,2.38226890563965
15,5.51748943328857,2.38724052210076,2.38226890563965
16,3.90615937444899,1.26535085558111,2.10054349899292
17,3.90615937444899,1.26535085558111,2.10054349899292
18,3.90615937444899,1.26535085558111,2.10054349899292
19,3.90615937444899,1.26535085558111,2.10054349899292
20,3.7082728544871,1.91460582433654,2.50638580322266
21,4.13124990463257,0,4.13124990463257
22,4.13124990463257,0,4.13124990463257
23,4.13124990463257,0,4.13124990463257
24,4.13124990463257,0,4.13124990463257
25,5.64911675453186,1.51786684989929,4.13124990463257
26,4.13124990463257,0,4.13124990463257
27,5.64911675453186,1.51786684989929,4.13124990463257
28,4.13124990463257,0,4.13124990463257
29,4.13124990463257,0,4.13124990463257
30,5.64911675453186,1.51786684989929,4.13124990463257
31,5.64911675453186,1.51786684989929,4.13124990463257
32,5.64911675453186,1.51786684989929,4.13124990463257
33,5.64911675453186,1.51786684989929,4.13124990463257
34,5.64911675453186,1.51786684989929,4.13124990463257
35,6.02897429466248,1.87652850151062,4.15244579315186
36,6.02897429466248,1.87652850151062,4.15244579315186
37,6.02897429466248,1.87652850151062,4.15244579315186
38,6.02897429466248,1.87652850151062,4.15244579315186
39,2.24368205335405,0.311630491352099,1.73756790161133
40,2.24368205335405,0.311630491352099,1.73756790161133
41,2.24368205335405,0.311630491352099,1.73756790161133
42,2.39855827225579,0.254950973282377,1.73756790161133
43,2.39855827225579,0.254950973282377,1.73756790161133
44,4.64517664909363,1.51338315010071,3.13179349899292
